Date;Closing price
1997-08-20;653.14
1997-08-21;645.14
1997-08-22;629.15
1997-08-25;624.66
1997-08-26;619.4
1997-08-27;619.01
1997-08-28;611.82
1997-08-29;605.17
1997-09-01;615.42
1997-09-02;630.3
1997-09-03;622.6
1997-09-04;621.51
1997-09-05;616.61
1997-09-08;627.35
1997-09-09;633
1997-09-10;628.3
1997-09-11;617.42
1997-09-12;613.33
1997-09-15;622.41
1997-09-16;625.89
1997-09-17;628.99
1997-09-18;635.98
1997-09-19;628.53
1997-09-22;644.1
1997-09-23;644.35
1997-09-24;649.77
1997-09-25;642.02
1997-09-26;652.45
1997-09-29;650.11
1997-09-30;652.85
1997-10-01;659.06
1997-10-02;655.31
1997-10-03;657.75
1997-10-06;653.82
1997-10-07;659.5
1997-10-08;656.57
1997-10-09;649.77
1997-10-10;642.91
1997-10-13;645.57
1997-10-14;647.6
1997-10-15;643.69
1997-10-16;641.33
1997-10-17;627.97
1997-10-20;623.55
1997-10-21;633.43
1997-10-22;629
1997-10-23;611.17
1997-10-24;605.44
1997-10-27;576.97
1997-10-28;554.4
1997-10-29;592.07
1997-10-30;574.26
1997-10-31;575.49
1997-11-03;592.82
1997-11-04;588.71
1997-11-05;596.19
1997-11-06;590.49
1997-11-07;575.96
1997-11-10;580.04
1997-11-11;574.9
1997-11-12;577.14
1997-11-13;568.05
1997-11-14;560.03
1997-11-17;576.13
1997-11-18;583.51
1997-11-19;585.83
1997-11-20;601.39
1997-11-21;614.34
1997-11-24;601.64
1997-11-25;595.96
1997-11-26;601.54
1997-11-27;603.2
1997-11-28;609.1
1997-12-01;624.43
1997-12-02;620.43
1997-12-03;610.57
1997-12-04;624.22
1997-12-05;619.55
1997-12-08;625.09
1997-12-09;619.21
1997-12-10;607.51
1997-12-11;588.27
1997-12-12;583.58
1997-12-15;583.58
1997-12-16;599.52
1997-12-17;602.61
1997-12-18;597.88
1997-12-19;573.61
1997-12-22;575.34
1997-12-23;567.25
1997-12-29;592.99
1997-12-30;599.71
1998-01-02;604.82
1998-01-05;623.08
1998-01-07;613.03
1998-01-08;609.44
1998-01-09;595.66
1998-01-12;569.97
1998-01-13;570.49
1998-01-14;584.77
1998-01-15;590.64
1998-01-16;598.17
1998-01-19;604.09
1998-01-20;605.15
1998-01-21;608.65
1998-01-22;602.2
1998-01-23;601.23
1998-01-26;607.92
1998-01-27;621.58
1998-01-28;624.77
1998-01-29;629.32
1998-01-30;627.14
1998-02-02;638.69
1998-02-03;633.76
1998-02-04;632.71
1998-02-05;639.5
1998-02-06;645.05
1998-02-09;646.81
1998-02-10;647.47
1998-02-11;651.78
1998-02-12;646.72
1998-02-13;650.7
1998-02-16;655.95
1998-02-17;666.47
1998-02-18;665.46
1998-02-19;665.47
1998-02-20;666.23
1998-02-23;668.64
1998-02-24;668.69
1998-02-25;681.98
1998-02-26;683.58
1998-02-27;683.34
1998-03-02;690.99
1998-03-03;683.62
1998-03-04;678.75
1998-03-05;677.47
1998-03-06;689.48
1998-03-09;698.37
1998-03-10;701.46
1998-03-11;707.35
1998-03-12;711.91
1998-03-13;716.05
1998-03-16;721.96
1998-03-17;729.3
1998-03-18;726.26
1998-03-19;725.44
1998-03-20;729.69
1998-03-23;730.42
1998-03-24;733.26
1998-03-25;740.46
1998-03-26;729.39
1998-03-27;733.43
1998-03-30;727.69
1998-03-31;725.23
1998-04-01;731.28
1998-04-02;729.68
1998-04-03;747.26
1998-04-06;761.02
1998-04-07;751.28
1998-04-08;745.95
1998-04-09;753.21
1998-04-14;766.73
1998-04-15;775.07
1998-04-16;765.16
1998-04-17;759.46
1998-04-20;757.42
1998-04-21;763.82
1998-04-22;744.63
1998-04-23;739.54
1998-04-24;735.29
1998-04-27;718.76
1998-04-28;732.81
1998-04-29;726.88
1998-04-30;737.02
1998-05-04;753.56
1998-05-05;751.74
1998-05-06;762.54
1998-05-07;759.44
1998-05-08;760.22
1998-05-11;771.39
1998-05-12;764.27
1998-05-13;759.23
1998-05-14;755.35
1998-05-15;761.39
1998-05-18;752.94
1998-05-19;762.6
1998-05-20;767.11
1998-05-22;775.27
1998-05-25;786.84
1998-05-26;786.08
1998-05-27;767.63
1998-05-28;764.3
1998-05-29;765.59
1998-06-02;761.17
1998-06-03;759.05
1998-06-04;757.04
1998-06-05;783.04
1998-06-08;793.81
1998-06-09;800.46
1998-06-10;790.51
